Date,Country/Region,value
2020-01-22,Afghanistan,0.0
2020-01-23,Afghanistan,0.0
2020-01-24,Afghanistan,0.0
2020-01-25,Afghanistan,0.0
2020-01-26,Afghanistan,0.0
2020-01-27,Afghanistan,0.0
2020-01-28,Afghanistan,0.0
2020-01-29,Afghanistan,0.0
2020-01-30,Afghanistan,0.0
2020-01-31,Afghanistan,0.0
2020-02-01,Afghanistan,0.0
2020-02-02,Afghanistan,0.0
2020-02-03,Afghanistan,0.0
2020-02-04,Afghanistan,0.0
2020-02-05,Afghanistan,0.0
2020-02-06,Afghanistan,0.0
2020-02-07,Afghanistan,0.0
2020-02-08,Afghanistan,0.0
2020-02-09,Afghanistan,0.0
2020-02-10,Afghanistan,0.0
2020-02-11,Afghanistan,0.0
2020-02-12,Afghanistan,0.0
2020-02-13,Afghanistan,0.0
2020-02-14,Afghanistan,0.0
2020-02-15,Afghanistan,0.0
2020-02-16,Afghanistan,0.0
2020-02-17,Afghanistan,0.0
2020-02-18,Afghanistan,0.0
2020-02-19,Afghanistan,0.0
2020-02-20,Afghanistan,0.0
2020-02-21,Afghanistan,0.0
2020-02-22,Afghanistan,0.0
2020-02-23,Afghanistan,0.0
2020-02-24,Afghanistan,0.0
2020-02-25,Afghanistan,0.0
2020-02-26,Afghanistan,0.0
2020-02-27,Afghanistan,0.0
2020-02-28,Afghanistan,0.0
2020-02-29,Afghanistan,0.0
2020-03-01,Afghanistan,0.0
2020-03-02,Afghanistan,0.0
2020-03-03,Afghanistan,0.0
2020-03-04,Afghanistan,0.0
2020-03-05,Afghanistan,0.0
2020-03-06,Afghanistan,0.0
2020-03-07,Afghanistan,0.0
2020-03-08,Afghanistan,0.0
2020-03-09,Afghanistan,0.0
2020-03-10,Afghanistan,0.0
2020-03-11,Afghanistan,0.0
2020-03-12,Afghanistan,0.0
2020-03-13,Afghanistan,0.0
2020-03-14,Afghanistan,0.0
2020-03-15,Afghanistan,0.0
2020-03-16,Afghanistan,0.0
2020-03-17,Afghanistan,0.0
2020-03-18,Afghanistan,0.0
2020-03-19,Afghanistan,0.0
2020-03-20,Afghanistan,0.0
2020-03-21,Afghanistan,0.0
2020-03-22,Afghanistan,0.07
2020-03-23,Afghanistan,0.07
2020-03-24,Afghanistan,0.07
2020-03-25,Afghanistan,0.14
2020-03-26,Afghanistan,0.29
2020-03-27,Afghanistan,0.29
2020-03-28,Afghanistan,0.29
2020-03-29,Afghanistan,0.29
2020-03-30,Afghanistan,0.29
2020-03-31,Afghanistan,0.29
2020-04-01,Afghanistan,0.29
2020-04-02,Afghanistan,0.43
2020-04-03,Afghanistan,0.43
2020-04-04,Afghanistan,0.5
2020-04-05,Afghanistan,0.43
2020-04-06,Afghanistan,0.71
2020-04-07,Afghanistan,0.93
2020-04-08,Afghanistan,0.86
2020-04-09,Afghanistan,0.79
2020-04-10,Afghanistan,0.79
2020-04-11,Afghanistan,1.0
2020-04-12,Afghanistan,1.0
2020-04-13,Afghanistan,1.21
2020-04-14,Afghanistan,1.36
2020-04-15,Afghanistan,1.5
2020-04-16,Afghanistan,1.71
2020-04-17,Afghanistan,1.71
2020-04-18,Afghanistan,1.64
2020-04-19,Afghanistan,1.86
2020-04-20,Afghanistan,1.79
2020-04-21,Afghanistan,1.57
2020-04-22,Afghanistan,1.86
2020-04-23,Afghanistan,1.93
2020-04-24,Afghanistan,2.0
2020-04-25,Afghanistan,2.07
2020-04-26,Afghanistan,2.29
2020-04-27,Afghanistan,2.57
2020-04-28,Afghanistan,2.5
2020-04-29,Afghanistan,2.5
2020-04-30,Afghanistan,2.43
2020-05-01,Afghanistan,2.71
2020-05-02,Afghanistan,3.0
2020-05-03,Afghanistan,3.71
2020-05-04,Afghanistan,3.86
2020-05-05,Afghanistan,4.21
2020-05-06,Afghanistan,4.57
2020-05-07,Afghanistan,4.57
2020-05-08,Afghanistan,4.71
2020-05-09,Afghanistan,4.86
2020-05-10,Afghanistan,5.0
2020-05-11,Afghanistan,4.64
2020-05-12,Afghanistan,4.93
2020-05-13,Afghanistan,5.14
2020-05-14,Afghanistan,5.14
2020-05-15,Afghanistan,6.07
2020-05-16,Afghanistan,6.86
2020-05-17,Afghanistan,6.0
2020-05-18,Afghanistan,5.93
2020-05-19,Afghanistan,5.93
2020-05-20,Afghanistan,5.93
2020-05-21,Afghanistan,6.21
2020-05-22,Afghanistan,6.86
2020-05-23,Afghanistan,7.21
2020-05-24,Afghanistan,7.0
2020-05-25,Afghanistan,6.93
2020-05-26,Afghanistan,6.64
2020-05-27,Afghanistan,6.79
2020-05-28,Afghanistan,7.07
2020-05-29,Afghanistan,6.64
2020-05-30,Afghanistan,5.79
2020-05-31,Afghanistan,6.29
2020-06-01,Afghanistan,6.57
2020-06-02,Afghanistan,6.57
2020-06-03,Afghanistan,7.64
2020-06-04,Afghanistan,7.64
2020-06-05,Afghanistan,7.43
2020-06-06,Afghanistan,7.93
2020-06-07,Afghanistan,9.93
2020-06-08,Afghanistan,10.71
2020-06-09,Afghanistan,11.71
2020-06-10,Afghanistan,12.71
2020-06-11,Afghanistan,13.64
2020-06-12,Afghanistan,14.29
2020-06-13,Afghanistan,14.43
2020-06-14,Afghanistan,15.29
2020-06-15,Afghanistan,15.21
2020-06-16,Afghanistan,15.79
2020-06-17,Afghanistan,15.0
2020-06-18,Afghanistan,17.57
2020-06-19,Afghanistan,17.07
2020-06-20,Afghanistan,17.29
2020-06-21,Afghanistan,16.0
2020-06-22,Afghanistan,16.36
2020-06-23,Afghanistan,16.71
2020-06-24,Afghanistan,16.71
2020-06-25,Afghanistan,17.79
2020-06-26,Afghanistan,16.93
2020-06-27,Afghanistan,18.0
2020-06-28,Afghanistan,17.86
2020-06-29,Afghanistan,18.21
2020-06-30,Afghanistan,18.21
2020-07-01,Afghanistan,19.29
2020-07-02,Afghanistan,18.64
2020-07-03,Afghanistan,19.36
2020-07-04,Afghanistan,18.36
2020-07-05,Afghanistan,20.21
2020-07-06,Afghanistan,21.43
2020-07-07,Afghanistan,21.57
2020-07-08,Afghanistan,21.21
2020-07-09,Afghanistan,20.14
2020-07-10,Afghanistan,20.57
2020-07-11,Afghanistan,20.79
2020-07-12,Afghanistan,20.64
2020-07-13,Afghanistan,19.93
2020-07-14,Afghanistan,21.57
2020-07-15,Afghanistan,22.86
2020-07-16,Afghanistan,21.86
2020-07-17,Afghanistan,23.43
2020-07-18,Afghanistan,24.14
2020-07-19,Afghanistan,22.64
2020-07-20,Afghanistan,20.5
2020-07-21,Afghanistan,19.0
2020-07-22,Afghanistan,18.14
2020-07-23,Afghanistan,18.14
2020-07-24,Afghanistan,18.14
2020-07-25,Afghanistan,18.14
2020-07-26,Afghanistan,17.79
2020-07-27,Afghanistan,18.36
2020-01-22,Albania,0.0
2020-01-23,Albania,0.0
2020-01-24,Albania,0.0
2020-01-25,Albania,0.0
2020-01-26,Albania,0.0
2020-01-27,Albania,0.0
2020-01-28,Albania,0.0
2020-01-29,Albania,0.0
2020-01-30,Albania,0.0
2020-01-31,Albania,0.0
2020-02-01,Albania,0.0
2020-02-02,Albania,0.0
2020-02-03,Albania,0.0
2020-02-04,Albania,0.0
2020-02-05,Albania,0.0
2020-02-06,Albania,0.0
2020-02-07,Albania,0.0
2020-02-08,Albania,0.0
2020-02-09,Albania,0.0
2020-02-10,Albania,0.0
2020-02-11,Albania,0.0
2020-02-12,Albania,0.0
2020-02-13,Albania,0.0
